100
0.0000, 0.00000000
0.0505, 0.05048358
0.1010, 0.10083842
0.1515, 0.15093610
0.2020, 0.20064886
0.2525, 0.24984992
0.3030, 0.29841380
0.3535, 0.34621667
0.4040, 0.39313661
0.4545, 0.43905397
0.5051, 0.48385164
0.5556, 0.52741539
0.6061, 0.56963411
0.6566, 0.61040014
0.7071, 0.64960951
0.7576, 0.68716224
0.8081, 0.72296256
0.8586, 0.75691917
0.9091, 0.78894546
0.9596, 0.81895978
1.0101, 0.84688556
1.0606, 0.87265161
1.1111, 0.89619220
1.1616, 0.91744731
1.2121, 0.93636273
1.2626, 0.95289021
1.3131, 0.96698762
1.3636, 0.97861900
1.4141, 0.98775469
1.4646, 0.99437139
1.5152, 0.99845223
1.5657, 0.99998679
1.6162, 0.99897117
1.6667, 0.99540796
1.7172, 0.98930624
1.7677, 0.98068157
1.8182, 0.96955595
1.8687, 0.95595775
1.9192, 0.93992165
1.9697, 0.92148855
2.0202, 0.90070545
2.0707, 0.87762535
2.1212, 0.85230712
2.1717, 0.82481532
2.2222, 0.79522006
2.2727, 0.76359681
2.3232, 0.73002623
2.3737, 0.69459392
2.4242, 0.65739025
2.4747, 0.61851008
2.5253, 0.57805259
2.5758, 0.53612093
2.6263, 0.49282204
2.6768, 0.44826636
2.7273, 0.40256749
2.7778, 0.35584199
2.8283, 0.30820902
2.8788, 0.25979004
2.9293, 0.21070855
2.9798, 0.16108970
3.0303, 0.11106004
3.0808, 0.06074715
3.1313, 0.01027934
3.1818, -0.04021468
3.2323, -0.09060615
3.2828, -0.14076655
3.3333, -0.19056796
3.3838, -0.23988339
3.4343, -0.28858706
3.4848, -0.33655477
3.5354, -0.38366419
3.5859, -0.42979519
3.6364, -0.47483011
3.6869, -0.51865411
3.7374, -0.56115544
3.7879, -0.60222569
3.8384, -0.64176014
3.8889, -0.67965796
3.9394, -0.71582250
3.9899, -0.75016154
4.0404, -0.78258750
4.0909, -0.81301770
4.1414, -0.84137452
4.1919, -0.86758566
4.2424, -0.89158426
4.2929, -0.91330913
4.3434, -0.93270486
4.3939, -0.94972199
4.4444, -0.96431712
4.4949, -0.97645303
4.5455, -0.98609877
4.5960, -0.99322975
4.6465, -0.99782778
4.6970, -0.99988113
4.7475, -0.99938456
4.7980, -0.99633934
4.8485, -0.99075324
4.8990, -0.98264051
4.9495, -0.97202182
5.0000, -0.95892427
