1, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
2, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
3, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
4, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
5, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
6, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
7, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
8, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
9, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
10, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
11, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
12, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
13, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
14, 1 2 3 4 5 6 7 8 9 10 11 12 13 14
15, 1
16, 1 16 17 18 19 20
17, 1 16 17 18 19 20
18, 1 16 17 18 19 20
19, 1 16 17 18 19 20
20, 1 16 17 18 19 20
21, 2
22, 2 22 23 24 25 26
23, 2 22 23 24 25 26
24, 2 22 23 24 25 26
25, 2 22 23 24 25 26
26, 2 22 23 24 25 26
27, 3
28, 3 28 29 30 31 32
29, 3 28 29 30 31 32
30, 3 28 29 30 31 32
31, 3 28 29 30 31 32
32, 3 28 29 30 31 32
33, 4
34, 4 34 35 36 37 38
35, 4 34 35 36 37 38
36, 4 34 35 36 37 38
37, 4 34 35 36 37 38
38, 4 34 35 36 37 38
39, 5
40, 5 40 41 42 43 44
41, 5 40 41 42 43 44
42, 5 40 41 42 43 44
43, 5 40 41 42 43 44
44, 5 40 41 42 43 44
45, 6
46, 6 46 47 48 49 50
47, 6 46 47 48 49 50
48, 6 46 47 48 49 50
49, 6 46 47 48 49 50
50, 6 46 47 48 49 50
51, 7
52, 7 52 53 54 55 56
53, 7 52 53 54 55 56
54, 7 52 53 54 55 56
55, 7 52 53 54 55 56
56, 7 52 53 54 55 56
57, 8
58, 8 58 59 60 61 62
59, 8 58 59 60 61 62
60, 8 58 59 60 61 62
61, 8 58 59 60 61 62
62, 8 58 59 60 61 62
63, 9
64, 9 64 65 66 67 68
65, 9 64 65 66 67 68
66, 9 64 65 66 67 68
67, 9 64 65 66 67 68
68, 9 64 65 66 67 68
69, 10
70, 10 70 71 72 73 74
71, 10 70 71 72 73 74
72, 10 70 71 72 73 74
73, 10 70 71 72 73 74
74, 10 70 71 72 73 74
75, 11
76, 11 76 77 78 79 80
77, 11 76 77 78 79 80
78, 11 76 77 78 79 80
79, 11 76 77 78 79 80
80, 11 76 77 78 79 80
81, 12
82, 12 82 83 84 85 86
83, 12 82 83 84 85 86
84, 12 82 83 84 85 86
85, 12 82 83 84 85 86
86, 12 82 83 84 85 86
87, 13
88, 13 88 89 90 91 92
89, 13 88 89 90 91 92
90, 13 88 89 90 91 92
91, 13 88 89 90 91 92
92, 13 88 89 90 91 92
93, 14
94, 14 94 95 96 97 98
95, 14 94 95 96 97 98
96, 14 94 95 96 97 98
97, 14 94 95 96 97 98
98, 14 94 95 96 97 98
99, 16
100, 17
